06:59.16 1998-04-08 3607 DIRECTX/DIRECTX/DRIVERS/BRZ/DXWD.INF
06:59.16 1998-04-08 44432 DIRECTX/DIRECTX/DRIVERS/BRZ/ES1488.DRV
06:59.16 1998-04-08 20124 DIRECTX/DIRECTX/DRIVERS/BRZ/ES1488.VXD
06:59.18 1998-04-08 57095 DIRECTX/DIRECTX/DRIVERS/BRZ/ES1688.DRV
06:59.18 1998-04-08 32386 DIRECTX/DIRECTX/DRIVERS/BRZ/ES1688.VXD
06:59.18 1998-04-08 58359 DIRECTX/DIRECTX/DRIVERS/BRZ/ES1788.DRV
06:59.18 1998-04-08 32386 DIRECTX/DIRECTX/DRIVERS/BRZ/ES1788.VXD
06:59.18 1998-04-08 37344 DIRECTX/DIRECTX/DRIVERS/BRZ/ES488.DRV
06:59.18 1998-04-08 19611 DIRECTX/DIRECTX/DRIVERS/BRZ/ES488.VXD
06:59.18 1998-04-08 47536 DIRECTX/DIRECTX/DRIVERS/BRZ/ES688.DRV
06:59.18 1998-04-08 22683 DIRECTX/DIRECTX/DRIVERS/BRZ/ES688.VXD
06:59.18 1998-04-08 20391 DIRECTX/DIRECTX/DRIVERS/BRZ/ESFM.DRV
06:59.18 1998-04-08 17856 DIRECTX/DIRECTX/DRIVERS/BRZ/ESSFM.DRV
06:59.18 1998-04-08 9952 DIRECTX/DIRECTX/DRIVERS/BRZ/ESSMPORT.DRV
06:59.20 1998-04-08 9895 DIRECTX/DIRECTX/DRIVERS/BRZ/ESSMPU.DRV
06:59.20 1998-04-08 6540 DIRECTX/DIRECTX/DRIVERS/BRZ/F3AUDIO.INF
06:59.20 1998-04-08 8839 DIRECTX/DIRECTX/DRIVERS/BRZ/F3MIDI.DRV
06:59.20 1998-04-08 48939 DIRECTX/DIRECTX/DRIVERS/BRZ/F3WAVMIX.DRV
06:59.20 1998-04-08 5344 DIRECTX/DIRECTX/DRIVERS/BRZ/MMMIXER.DLL
06:59.20 1998-04-08 386 DIRECTX/DIRECTX/DRIVERS/BRZ/MSDDRAW.INF
06:59.20 1998-04-08 313 DIRECTX/DIRECTX/DRIVERS/BRZ/MSDSOUND.INF
06:59.20 1998-04-08 7760 DIRECTX/DIRECTX/DRIVERS/BRZ/MSJSTICK.DRV
06:59.20 1998-04-08 8720 DIRECTX/DIRECTX/DRIVERS/BRZ/MSMPU401.DRV
06:59.20 1998-04-08 17904 DIRECTX/DIRECTX/DRIVERS/BRZ/MSOPL.DRV
06:59.20 1998-04-08 41184 DIRECTX/DIRECTX/DRIVERS/BRZ/MSSBLST.DRV
06:59.20 1998-04-08 21158 DIRECTX/DIRECTX/DRIVERS/BRZ/MSSBLST.VXD
06:59.20 1998-04-08 41499 DIRECTX/DIRECTX/DRIVERS/BRZ/MSSNDSYS.DRV
06:59.20 1998-04-08 31468 DIRECTX/DIRECTX/DRIVERS/BRZ/MSSNDSYS.VXD
06:59.20 1998-04-08 39024 DIRECTX/DIRECTX/DRIVERS/BRZ/MVI514MX.DRV
06:59.22 1998-04-08 20000 DIRECTX/DIRECTX/DRIVERS/BRZ/MVIWAVE.DRV
06:59.22 1998-04-08 60096 DIRECTX/DIRECTX/DRIVERS/BRZ/MVMIXER.DRV
06:59.22 1998-04-08 26368 DIRECTX/DIRECTX/DRIVERS/BRZ/MVPROAUD.DRV
06:59.22 1998-04-08 53760 DIRECTX/DIRECTX/DRIVERS/BRZ/PA3DMXD.DRV
06:59.22 1998-04-08 114253 DIRECTX/DIRECTX/DRIVERS/BRZ/SB16.VXD
06:59.22 1998-04-08 28999 DIRECTX/DIRECTX/DRIVERS/BRZ/SB16AWE.INF
06:59.22 1998-04-08 76523 DIRECTX/DIRECTX/DRIVERS/BRZ/SB16SND.DRV
06:59.22 1998-04-08 78966 DIRECTX/DIRECTX/DRIVERS/BRZ/SBAWE.VXD
06:59.22 1998-04-08 31675 DIRECTX/DIRECTX/DRIVERS/BRZ/SBAWE32.DRV
06:59.22 1998-04-08 4176 DIRECTX/DIRECTX/DRIVERS/BRZ/SBFM.DRV
06:59.24 1998-04-08 18594 DIRECTX/DIRECTX/DRIVERS/BRZ/VMVID.VXD
06:59.24 1998-04-08 24170 DIRECTX/DIRECTX/DRIVERS/BRZ/VPASD.VXD
06:59.24 1998-04-08 58263 DIRECTX/DIRECTX/DRIVERS/BRZ/WAVE.INF
06:59.28 1998-04-08 26770 DIRECTX/DIRECTX/DRIVERS/CHS/AZT16.VXD
06:59.28 1998-04-08 41440 DIRECTX/DIRECTX/DRIVERS/CHS/AZT16C.DRV
06:59.28 1998-04-08 42992 DIRECTX/DIRECTX/DRIVERS/CHS/AZT16W.DRV
06:59.28 1998-04-08 227435 DIRECTX/DIRECTX/DRIVERS/CHS/CWBAUDIO.DRV
20:19.40 1998-06-29 27897 DIRECTX/DIRECTX/DRIVERS/CHS/CWBAUDIO.INF
06:59.30 1998-04-08 14525 DIRECTX/DIRECTX/DRIVERS/CHS/CWBMIDI.VXD
06:59.02 1998-11-20 19409 DIRECTX/DIRECTX/DRIVERS/CHS/DRIVERS.DDB
06:59.30 1998-04-08 9850 DIRECTX/DIRECTX/DRIVERS/CHS/DXATI.INF
06:59.30 1998-04-08 5346 DIRECTX/DIRECTX/DRIVERS/CHS/DXCHIPS.INF
