18:55.06 1996-10-11 67 autorun.inf
08:00.52 1998-04-08 32382 directx/directx/drivers/eng/es1688.vxd
08:00.52 1998-04-08 57472 directx/directx/drivers/eng/es1788.drv
08:00.52 1998-04-08 32382 directx/directx/drivers/eng/es1788.vxd
08:01.14 1998-04-08 18333 directx/directx/drivers/eng/wd.vxd
08:01.14 1998-04-08 13456 directx/directx/drivers/eng/wfm0200.acv
08:01.16 1998-04-08 2238 directx/directx/drivers/eng/wfm0200a.csp
08:01.12 1998-04-08 12048 directx/directx/drivers/eng/tmv1.mpd
08:01.12 1998-04-08 30400 directx/directx/drivers/eng/trid_bio.dll
08:01.12 1998-04-08 22016 directx/directx/drivers/eng/trid_pci.dll
08:01.12 1998-04-08 50096 directx/directx/drivers/eng/trid_pci.drv
08:00.52 1998-04-08 17920 directx/directx/drivers/eng/essfm.drv
08:00.52 1998-04-08 9904 directx/directx/drivers/eng/essmport.drv
08:00.54 1998-04-08 9776 directx/directx/drivers/eng/essmpu.drv
08:00.54 1998-04-08 41472 directx/directx/drivers/eng/et6000.dll
08:01.12 1998-04-08 34832 directx/directx/drivers/eng/synthgm.sbk
08:01.06 1998-04-08 295424 directx/directx/drivers/eng/rend32.dll
08:01.06 1998-04-08 70905 directx/directx/drivers/eng/rend3d.uc
08:01.06 1998-04-08 21488 directx/directx/drivers/eng/renduc.dll
08:01.06 1998-04-08 33792 directx/directx/drivers/eng/s3.dll
08:01.04 1998-04-08 57696 directx/directx/drivers/eng/pmedia.drv
08:01.14 1998-04-08 5175 directx/directx/drivers/eng/vwstream.vxd
08:01.14 1998-04-08 58179 directx/directx/drivers/eng/wave.inf
08:01.14 1998-04-08 10752 directx/directx/drivers/eng/wd.dll
08:01.14 1998-04-08 25840 directx/directx/drivers/eng/wd.drv
08:01.04 1998-04-08 22213 directx/directx/drivers/eng/rend2d.uc
08:01.00 1998-04-08 17952 directx/directx/drivers/eng/msopl.drv
08:01.00 1998-04-08 40848 directx/directx/drivers/eng/mssblst.drv
08:01.00 1998-04-08 21154 directx/directx/drivers/eng/mssblst.vxd
08:01.00 1998-04-08 40816 directx/directx/drivers/eng/mssndsys.drv
08:01.00 1998-04-08 31472 directx/directx/drivers/eng/mssndsys.vxd
08:01.10 1998-04-08 75392 directx/directx/drivers/eng/sb16snd.drv
08:01.12 1998-04-08 78954 directx/directx/drivers/eng/sbawe.vxd
08:01.12 1998-04-08 31456 directx/directx/drivers/eng/sbawe32.drv
08:01.12 1998-04-08 4128 directx/directx/drivers/eng/sbfm.drv
08:01.12 1998-04-08 52320 directx/directx/drivers/eng/supervga.drv
08:01.08 1998-04-08 25811 directx/directx/drivers/eng/s3m65.vxd
08:01.08 1998-04-08 74240 directx/directx/drivers/eng/s3mm.dll
08:01.08 1998-04-08 142736 directx/directx/drivers/eng/s3mm.drv
08:01.02 1998-04-08 70128 directx/directx/drivers/eng/neom.drv
08:01.02 1998-04-08 16119 directx/directx/drivers/eng/neom.vxd
08:01.02 1998-04-08 14477 directx/directx/drivers/eng/oak.vxd
08:01.02 1998-04-08 53200 directx/directx/drivers/eng/pa3dmxd.drv
08:01.04 1998-04-08 45329 directx/directx/drivers/eng/pmedia.vxd
08:01.04 1998-04-08 371200 directx/directx/drivers/eng/pmedia32.dll
08:01.04 1998-04-08 51344 directx/directx/drivers/eng/rend.drv
08:01.04 1998-04-08 10851 directx/directx/drivers/eng/rend.vxd
08:00.58 1998-04-08 9846 directx/directx/drivers/eng/mgaxdd.vxd
08:00.54 1998-04-08 6500 directx/directx/drivers/eng/f3audio.inf
08:00.54 1998-04-08 87152 directx/directx/drivers/eng/f3driver.vxd
08:00.54 1998-04-08 96851 directx/directx/drivers/eng/f3dsound.vxd
08:00.54 1998-04-08 5945 directx/directx/drivers/eng/f3joystk.vxd
08:00.54 1998-04-08 8720 directx/directx/drivers/eng/f3midi.drv
08:01.06 1998-04-08 136352 directx/directx/drivers/eng/s3.drv
08:01.08 1998-04-08 33854 directx/directx/drivers/eng/s3.vxd
08:01.08 1998-04-08 27136 directx/directx/drivers/eng/s3m65.dll
08:01.08 1998-04-08 141952 directx/directx/drivers/eng/s3m65.drv
08:01.00 1998-04-08 313 directx/directx/drivers/eng/msdsound.inf
